,game_date,play_id,play_type_nfl,punt_inside_twenty,game_id,possession_team,home_team,away_team,home_score,away_score,total_home_score,total_away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,return_yards,return_touchdown
59331,2018-09-30,1942.0,PUNT,0.0,2018_04_SF_LAC,SF,LAC,SF,29,27,14.0,17.0,0.6123529,Half1,1830.0,punt,0.3876471,56.0,0.0
59340,2018-09-30,2134.0,PUNT,0.0,2018_04_SF_LAC,SF,LAC,SF,29,27,17.0,17.0,0.36024317,Half2,1717.0,punt,0.6397568,21.0,0.0
60349,2018-10-07,3630.0,PUNT,0.0,2018_05_DAL_HOU,HOU,HOU,DAL,19,16,16.0,16.0,0.44936338,Half2,220.0,punt,0.55063665,22.0,0.0
60519,2018-10-07,3120.0,PUNT,0.0,2018_05_DEN_NYJ,DEN,NYJ,DEN,34,16,24.0,10.0,0.028635807,Half2,907.0,punt,0.9713642,51.0,0.0
60875,2018-10-04,2618.0,PUNT,0.0,2018_05_IND_NE,NE,NE,IND,38,24,24.0,3.0,0.9422372,Half2,1617.0,punt,0.0577628,33.0,0.0
61412,2018-10-07,1828.0,PUNT,0.0,2018_05_MIA_CIN,CIN,CIN,MIA,27,17,0.0,13.0,0.2913299,Half1,1840.0,punt,0.70867014,71.0,1.0
62049,2018-10-07,736.0,PUNT,0.0,2018_05_TEN_BUF,BUF,BUF,TEN,13,12,7.0,0.0,0.7435685,Half1,3019.0,punt,0.25643152,38.0,0.0
62460,2018-10-14,2545.0,PUNT,0.0,2018_06_ARI_MIN,ARI,MIN,ARI,27,17,20.0,10.0,0.085454464,Half2,1378.0,punt,0.91454554,20.0,0.0
62609,2018-10-14,1915.0,PUNT,0.0,2018_06_BAL_TEN,TEN,TEN,BAL,0,21,0.0,14.0,0.10131347,Half1,1835.0,punt,0.8986865,26.0,0.0
63870,2018-10-14,2433.0,PUNT,0.0,2018_06_LA_DEN,DEN,DEN,LA,20,23,3.0,13.0,0.17805508,Half2,1525.0,punt,0.82194495,26.0,0.0
63960,2018-10-14,178.0,PUNT,0.0,2018_06_LAC_CLE,CLE,CLE,LAC,14,38,0.0,0.0,0.48805323,Half1,3474.0,punt,0.5119468,32.0,0.0
64009,2018-10-14,1357.0,PUNT,0.0,2018_06_LAC_CLE,LAC,CLE,LAC,14,38,3.0,7.0,0.58731186,Half1,2402.0,punt,0.41268814,33.0,0.0
64160,2018-10-11,708.0,PUNT,0.0,2018_06_PHI_NYG,NYG,NYG,PHI,13,34,3.0,7.0,0.31983557,Half1,3003.0,punt,0.68016446,23.0,0.0
